News,MENTIONS,Event
6399,MENTIONS,2016_11
6406,MENTIONS,2016_7
6420,MENTIONS,2008_3
6420,MENTIONS,2016_11
6424,MENTIONS,2016_7
6426,MENTIONS,2022_5
6432,MENTIONS,2018_1
6440,MENTIONS,2016_11
6443,MENTIONS,2005_12
6445,MENTIONS,2008_3
6445,MENTIONS,2016_11
6447,MENTIONS,2008_3
6447,MENTIONS,2012_5
6447,MENTIONS,2016_11
6459,MENTIONS,2008_3
6459,MENTIONS,2016_7
6463,MENTIONS,2017_0
6559,MENTIONS,2009_0
6561,MENTIONS,2015_7
6563,MENTIONS,2009_0
6568,MENTIONS,2016_11
6568,MENTIONS,2017_0
6582,MENTIONS,2016_7
6590,MENTIONS,2009_0
6599,MENTIONS,2009_0
6603,MENTIONS,2016_11
6615,MENTIONS,2013_8
6615,MENTIONS,2015_6
6618,MENTIONS,2018_1
6619,MENTIONS,2016_7
6628,MENTIONS,2005_12
6643,MENTIONS,2006_4
6646,MENTIONS,2008_3
6646,MENTIONS,2012_5
6646,MENTIONS,2017_0
6646,MENTIONS,2020_29
6693,MENTIONS,2022_5
6695,MENTIONS,2001_2
6695,MENTIONS,2016_11
6708,MENTIONS,2005_1
6708,MENTIONS,2016_1
6723,MENTIONS,2006_4
6724,MENTIONS,2016_11
6737,MENTIONS,2016_11
6748,MENTIONS,2016_7
6759,MENTIONS,2017_0
6762,MENTIONS,2016_11
6772,MENTIONS,2022_5
6776,MENTIONS,2021_5
6781,MENTIONS,2022_5
6789,MENTIONS,2006_8
6791,MENTIONS,2006_4
6803,MENTIONS,2016_11
6857,MENTIONS,2017_0
6880,MENTIONS,2017_0
6883,MENTIONS,2016_11
6885,MENTIONS,2007_2
6887,MENTIONS,2006_8
6889,MENTIONS,2016_7
6906,MENTIONS,2022_5
6912,MENTIONS,2022_5
6918,MENTIONS,2008_3
6918,MENTIONS,2012_5
6918,MENTIONS,2016_11
6918,MENTIONS,2020_29
6919,MENTIONS,2001_2
6919,MENTIONS,2008_3
6919,MENTIONS,2012_5
6919,MENTIONS,2020_29
6926,MENTIONS,2016_11
6926,MENTIONS,2017_0
6935,MENTIONS,2015_5
6947,MENTIONS,2016_11
6948,MENTIONS,2009_0
7008,MENTIONS,2016_7
7031,MENTIONS,2017_0
7032,MENTIONS,2016_11
7032,MENTIONS,2017_0
7039,MENTIONS,2010_4
7062,MENTIONS,2016_7
7068,MENTIONS,2008_3
7068,MENTIONS,2012_5
7068,MENTIONS,2016_11
7069,MENTIONS,2016_7
7072,MENTIONS,2016_11
7075,MENTIONS,2001_2
7075,MENTIONS,2016_11
7081,MENTIONS,2002_3
7085,MENTIONS,2016_11
7091,MENTIONS,2017_0
7108,MENTIONS,2017_0
7117,MENTIONS,2016_11
7120,MENTIONS,2016_11
7120,MENTIONS,2017_0
7123,MENTIONS,2021_5
7130,MENTIONS,2021_28
7136,MENTIONS,2020_29
7151,MENTIONS,2016_11
7157,MENTIONS,2020_29
7165,MENTIONS,2023_23
7167,MENTIONS,2020_29
7181,MENTIONS,2016_7
7213,MENTIONS,2009_0
7231,MENTIONS,2022_5
7233,MENTIONS,2001_6
7247,MENTIONS,2012_5
7250,MENTIONS,2005_12
7258,MENTIONS,2016_11
7262,MENTIONS,2017_0
7267,MENTIONS,2016_11
7287,MENTIONS,2002_12
7289,MENTIONS,2006_6
7295,MENTIONS,2001_2
7295,MENTIONS,2008_3
7295,MENTIONS,2016_11
7313,MENTIONS,2016_1
7324,MENTIONS,2004_0
7324,MENTIONS,2016_11
7333,MENTIONS,2016_7
7335,MENTIONS,2016_7
7337,MENTIONS,2002_3
7337,MENTIONS,2016_1
7339,MENTIONS,2022_39
7346,MENTIONS,2016_7
7348,MENTIONS,2016_7
7352,MENTIONS,2015_4
7372,MENTIONS,2002_3
7388,MENTIONS,2001_2
7388,MENTIONS,2008_3
7388,MENTIONS,2012_5
7388,MENTIONS,2016_11
7393,MENTIONS,2021_37
7395,MENTIONS,2001_7
7395,MENTIONS,2017_0
7398,MENTIONS,2017_0
7417,MENTIONS,2002_12
7422,MENTIONS,2016_11
7435,MENTIONS,2008_3
7435,MENTIONS,2016_11
7447,MENTIONS,2017_8
7453,MENTIONS,2006_4
7453,MENTIONS,2017_0
7455,MENTIONS,2006_4
7468,MENTIONS,2009_0
7492,MENTIONS,2016_11
7492,MENTIONS,2017_0
7503,MENTIONS,2022_9
7520,MENTIONS,2022_5
7528,MENTIONS,2016_7
7531,MENTIONS,2016_11
7531,MENTIONS,2017_0
7534,MENTIONS,2009_0
7535,MENTIONS,2022_39
7593,MENTIONS,2017_0
7597,MENTIONS,2018_1
7601,MENTIONS,2016_1
7602,MENTIONS,2016_1
7603,MENTIONS,2022_39
7606,MENTIONS,2020_4
7612,MENTIONS,2008_3
7612,MENTIONS,2016_11
7635,MENTIONS,2008_3
7635,MENTIONS,2016_11
7637,MENTIONS,2017_0
7664,MENTIONS,2007_1
7674,MENTIONS,2022_11
7685,MENTIONS,2017_0
7698,MENTIONS,2016_7
7703,MENTIONS,2020_36
7708,MENTIONS,2022_35
7710,MENTIONS,2018_1
7711,MENTIONS,2016_7
7714,MENTIONS,2016_7
7723,MENTIONS,2017_0
7726,MENTIONS,2002_3
7736,MENTIONS,2017_0
7745,MENTIONS,2009_0
7773,MENTIONS,2006_4
7796,MENTIONS,2008_3
7796,MENTIONS,2016_11
7804,MENTIONS,2008_3
7804,MENTIONS,2016_11
7810,MENTIONS,2022_39
7813,MENTIONS,2002_3
7829,MENTIONS,2023_23
7872,MENTIONS,2022_39
7874,MENTIONS,2022_39
7876,MENTIONS,2022_39
7882,MENTIONS,2018_1
7899,MENTIONS,2014_0
7924,MENTIONS,2014_0
7936,MENTIONS,2009_0
7958,MENTIONS,2007_1
7958,MENTIONS,2022_21
7985,MENTIONS,2022_5
8019,MENTIONS,2002_11
8019,MENTIONS,2022_5
8026,MENTIONS,2022_39
8032,MENTIONS,2016_7
8046,MENTIONS,2018_4
8052,MENTIONS,2008_3
8052,MENTIONS,2016_11
8085,MENTIONS,2012_5
8085,MENTIONS,2020_29
8087,MENTIONS,2021_35
8092,MENTIONS,2022_5
8099,MENTIONS,2009_0
8126,MENTIONS,2009_0
8127,MENTIONS,2009_0
8128,MENTIONS,2009_0
8129,MENTIONS,2009_0
8132,MENTIONS,2022_39
8149,MENTIONS,2014_0
8149,MENTIONS,2022_5
8152,MENTIONS,2022_5
8166,MENTIONS,2022_5
8235,MENTIONS,2008_3
8235,MENTIONS,2020_29
8243,MENTIONS,2022_5
8249,MENTIONS,2022_5
8257,MENTIONS,2022_5
8263,MENTIONS,2008_3
8263,MENTIONS,2021_5
8293,MENTIONS,2002_3
8294,MENTIONS,2002_3
8294,MENTIONS,2005_1
8318,MENTIONS,2021_35
8323,MENTIONS,2016_1
8409,MENTIONS,2021_1
8441,MENTIONS,2021_5
8442,MENTIONS,2016_11
8442,MENTIONS,2021_28
8445,MENTIONS,2021_5
8478,MENTIONS,2022_42
8501,MENTIONS,2006_4
8514,MENTIONS,2002_3
8514,MENTIONS,2006_4
8529,MENTIONS,2022_11
8551,MENTIONS,2012_0
8551,MENTIONS,2022_5
8557,MENTIONS,2022_5
